route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10612,1_merged_1235633,1178124,46 - VINE ST-Downtown Hartford,1,b_89081,120086
10612,1_merged_1235633,1178125,46 - VINE ST-Downtown Hartford,1,b_89079,120086
10612,1_merged_1235633,1178126,46 - VINE ST-Downtown Hartford,1,b_89089,120086
10612,1_merged_1235633,1178127,46 - VINE ST-Downtown Hartford,1,b_89084,120086
10612,1_merged_1235633,1178128,46 - VINE ST-Downtown Hartford,1,b_89082,120086
10612,1_merged_1235633,1178129,46 - VINE ST-Downtown Hartford,1,b_89090,120086
10612,1_merged_1235633,1178130,46 - VINE ST-Downtown Hartford,1,b_89085,120086
10612,1_merged_1235633,1178131,46 - VINE ST-Downtown Hartford,1,b_89080,120086
10612,1_merged_1235633,1178132,46 - VINE ST-Downtown Hartford,1,b_89086,120086
10612,1_merged_1235633,1178133,46 - VINE ST-Downtown Hartford,1,b_89083,120086
10612,1_merged_1235633,1178134,46 - VINE ST-Downtown Hartford,1,b_89088,120086
10612,1_merged_1235633,1178135,46 - VINE ST-Downtown Hartford,1,b_89079,120086
10612,1_merged_1235633,1178136,46 - VINE ST-Downtown Hartford,1,b_89081,120086
10612,1_merged_1235633,1178137,46 - VINE ST-Downtown Hartford,1,b_89084,120086
10612,1_merged_1235633,1178138,46 - VINE ST-Downtown Hartford,1,b_89009,120086
10612,1_merged_1235633,1178139,46 - VINE ST-Downtown Hartford,1,b_89082,120086
10612,1_merged_1235633,1178140,46 - VINE ST-Downtown Hartford,1,b_89087,120086
10612,1_merged_1235633,1178141,46 - VINE ST-Downtown Hartford,1,b_89086,120086
10612,1_merged_1235633,1178142,46 - VINE ST-Downtown Hartford,1,b_89096,120086
10612,1_merged_1235633,1178143,46 - VINE ST-Downtown Hartford,1,b_89083,120086
10612,1_merged_1235633,1178144,46 - VINE ST-Downtown Hartford,1,b_89087,120086
10612,1_merged_1235633,1178145,46 - VINE ST-Downtown Hartford,1,b_89082,120086
10612,1_merged_1235633,1178146,46 - VINE ST-Downtown Hartford,1,b_89081,120086
10612,1_merged_1235633,1178147,46 - VINE ST-Downtown Hartford,1,b_89091,120086
10612,1_merged_1235633,1178148,46 - VINE ST-Downtown Hartford,1,b_89092,120086
10612,1_merged_1235633,1178149,46 - VINE ST-Downtown Hartford,1,b_89080,120086
10612,1_merged_1235633,1178150,46 - VINE ST-Downtown Hartford,1,b_89079,120086
10613,2_merged_1235635,1178175,47 - FRANKLIN AV-Jordan Ln,0,b_89154,120089
10613,2_merged_1235635,1178176,47 - FRANKLIN AV-Jordan Ln,0,b_89158,120089
10613,2_merged_1235635,1178177,47B - FRANKLIN AVE-Berlin Tpk-Pascone Place,0,b_88985,120087
10613,2_merged_1235635,1178178,47 - FRANKLIN AV-Jordan Ln,0,b_89159,120089
10613,2_merged_1235635,1178179,47 - FRANKLIN AV-Jordan Ln,0,b_88990,120089
10613,2_merged_1235635,1178180,47B - FRANKLIN AVE-Berlin Tpk-Pascone Place,0,b_89154,120087
10613,2_merged_1235635,1178181,47 - FRANKLIN AV-Jordan Ln,0,b_89160,120089
10613,2_merged_1235635,1178182,47 - FRANKLIN AV-Jordan Ln,0,b_89158,120089
